spectrum_id,scan,Precursor_MZ,Charge,Smiles,INCHI,InChIKey_smiles,InChIKey_inchi
CCMSLIB00000085890,1155,194.082,1,CC(=O)Nc1ccc(CC(=O)O)cc1,N/A,MROJXXOCABQVEF-UHFFFAOYSA-N,
CCMSLIB00000085891,1156,300.083,1,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,N/A,HDDSHPAODJUKPD-UHFFFAOYSA-N,
CCMSLIB00000085892,1157,306.172,1,NC[C@H]1CC[C@@H](CC1)C(=O)Oc2ccc(CCC(=O)O)cc2.Cl,N/A,USROQQUKEBHOFF-SKKCDYJJSA-N,
CCMSLIB00000085893,1158,406.211,1,Cn1c(NCCN(CCO)CCCc2ccc(cc2)[N+](=O)[O-])cc(=O)n(C)c1=O.Cl,N/A,YPVGGQKNWAKOPX-UHFFFAOYSA-N,
CCMSLIB00000085894,1159,328.173,1,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c4ccccc14,N/A,LJSBBBWQTLXQEN-UHFFFAOYSA-N,
CCMSLIB00000085895,1160,473.133,1,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc3cc(cc(c3)C(F)(F)F)C(F)(F)F,N/A,BYYQYXVAWXAYQC-IBGZPJMESA-N,
CCMSLIB00000085896,1161,230.007,1,CNC(=O)CSP(=S)(OC)OC,N/A,MCWXGJITAZMZEV-UHFFFAOYSA-N,
CCMSLIB00000085897,1162,666.393,2,OC/C=C/1\C[N@+]2(CC=C)CC[C@]3([C@@H]2C[C@@H]1C4=CN5C6C(=CN7C43)[C@H]\8C[C@H]9[C@@]6(CC[N@@+]9(CC=C)C/C8=C\CO)c%10ccccc5%10)c%11ccccc7%11.[Cl-],N/A,ALHAPFWKPNJDLW-BHOHPMEJSA-M,
CCMSLIB00000085898,1163,318.17,1,C[N+]1(C)C2CC(CC1C3OC32)OC(=O)C(CO)c4ccccc4.[Br-],N/A,CXYRUNPLKGGUJF-UHFFFAOYSA-M,
CCMSLIB00000085899,1164,325.174,1,CN(C)CCCC1(OCc2cc(C#N)ccc21)c3ccc(F)cc3.Br,N/A,WIHMBLDNRMIGDW-UHFFFAOYSA-N,
CCMSLIB00000085900,1165,306.088,1,NC(=NC(=O)c1nc(Cl)c(N)nc1N)Nc2ccccc2.CS(=O)(=O)O,N/A,MHPIZTURFVSLTJ-UHFFFAOYSA-N,
CCMSLIB00000085901,1166,318.002,1,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,N/A,LMNZTLDVJIUSHT-UHFFFAOYSA-N,
CCMSLIB00000085902,1167,304.155,1,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@H]32)OC(=O)[C@H](CO)c4ccccc4.Cl,N/A,KXPXJGYSEPEXMF-MOUKNHLCSA-N,
CCMSLIB00000085903,1168,282.162,1,Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3.CS(=O)(=O)O,N/A,OGIYDFVHFQEFKQ-UHFFFAOYSA-N,
CCMSLIB00000085904,1169,259.021,1,CCOc1ccc2nc(sc2c1)S(=O)(=O)N,N/A,OUZWUKMCLIBBOG-UHFFFAOYSA-N,
CCMSLIB00000085905,1170,280.172,1,CN(C)CC/C=C/1\c2ccccc2COc3ccccc13.Cl,N/A,MHNSPTUQQIYJOT-SJDTYFKWSA-N,
CCMSLIB00000085906,1171,370.129,1,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NC4CCCC4)nc(Cl)nc23.O,N/A,KBXPPBVZVGWZSS-ZBMQJGODSA-N,
CCMSLIB00000085907,1172,262.063,1,Cc1c(Cl)cccc1Nc2ccccc2C(=O)O,N/A,YEZNLOUZAIOMLT-UHFFFAOYSA-N,
CCMSLIB00000085908,1173,219.113,1,CC(=O)NCCc1c[nH]c2ccc(O)cc12,N/A,MVAWJSIDNICKHF-UHFFFAOYSA-N,
CCMSLIB00000085909,1174,261.16,1,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1.Cl,N/A,FIKFLLIUPUVONI-UHFFFAOYSA-N,
CCMSLIB00000085910,1175,267.09,1,COc1cc2c(CCNC(=O)C)c[nH]c2cc1Cl,N/A,LUINDDOUWHRIPW-UHFFFAOYSA-N,
